FileNumber,iterations,TotalCSum,MaxFlipsResultSum,FlipsResultSum,satisfiedCSum,SolvedSum,nOfRuns
056,300,325000,300000,171157,323341,184,1000
039,300,325000,300000,186584,323233,200,1000
088,300,325000,300000,174159,324209,340,1000
094,300,325000,300000,173122,324404,646,1000
073,300,325000,300000,155853,324559,688,1000
049,300,325000,300000,179164,323747,175,1000
016,300,325000,300000,199947,322653,104,1000
018,300,325000,300000,166554,323904,488,1000
059,300,325000,300000,179558,323643,260,1000
046,300,325000,300000,198515,322935,63,1000
055,300,325000,300000,184840,323531,32,1000
022,300,325000,300000,176531,324331,488,1000
050,300,325000,300000,168927,323858,465,1000
037,300,325000,300000,187449,323357,52,1000
080,300,325000,300000,171291,323905,300,1000
017,300,325000,300000,177578,324020,398,1000
066,300,325000,300000,180007,324232,451,1000
057,300,325000,300000,191114,323190,87,1000
093,300,325000,300000,161826,324346,554,1000
01,300,325000,300000,180948,323643,466,1000
012,300,325000,300000,194241,322736,29,1000
03,300,325000,300000,206691,322625,37,1000
067,300,325000,300000,190236,322809,95,1000
071,300,325000,300000,184051,323681,160,1000
053,300,325000,300000,190821,323059,287,1000
019,300,325000,300000,196934,322940,87,1000
083,300,325000,300000,191706,323474,62,1000
077,300,325000,300000,156616,324628,709,1000
098,300,325000,300000,177935,323713,397,1000
014,300,325000,300000,181208,323626,271,1000
045,300,325000,300000,183566,323312,165,1000
033,300,325000,300000,137953,324712,834,1000
04,300,325000,300000,184762,322652,30,1000
062,300,325000,300000,196164,322477,110,1000
069,300,325000,300000,181963,323694,196,1000
032,300,325000,300000,179567,323370,89,1000
096,300,325000,300000,182589,323756,75,1000
028,300,325000,300000,191555,323706,69,1000
02,300,325000,300000,173658,324393,572,1000
084,300,325000,300000,186877,322506,158,1000
082,300,325000,300000,189696,323602,284,1000
076,300,325000,300000,185508,323672,119,1000
027,300,325000,300000,178678,323878,304,1000
034,300,325000,300000,187783,323872,163,1000
078,300,325000,300000,180893,323551,215,1000
021,300,325000,300000,181234,323528,348,1000
07,300,325000,300000,193802,322943,98,1000
091,300,325000,300000,186254,323209,62,1000
010,300,325000,300000,156081,324572,635,1000
074,300,325000,300000,175143,323668,257,1000
085,300,325000,300000,173860,324456,601,1000
092,300,325000,300000,174772,323676,275,1000
075,300,325000,300000,172233,323535,259,1000
05,300,325000,300000,198918,323161,57,1000
048,300,325000,300000,177163,323659,296,1000
036,300,325000,300000,201580,322670,133,1000
026,300,325000,300000,180034,323552,101,1000
063,300,325000,300000,186563,323981,348,1000
064,300,325000,300000,191980,323998,177,1000
0100,300,325000,300000,184168,323580,184,1000
060,300,325000,300000,190423,323148,185,1000
089,300,325000,300000,177790,324233,427,1000
011,300,325000,300000,185883,323452,121,1000
042,300,325000,300000,169354,323836,365,1000
052,300,325000,300000,174839,323548,79,1000
044,300,325000,300000,205298,322924,129,1000
038,300,325000,300000,191237,321583,103,1000
013,300,325000,300000,179176,323962,539,1000
051,300,325000,300000,195734,323263,72,1000
08,300,325000,300000,184731,323259,72,1000
070,300,325000,300000,184522,323607,257,1000
031,300,325000,300000,176331,323658,169,1000
023,300,325000,300000,191317,323666,144,1000
090,300,325000,300000,183407,323743,63,1000
024,300,325000,300000,180415,323764,239,1000
068,300,325000,300000,157820,324337,517,1000
072,300,325000,300000,183478,323995,276,1000
041,300,325000,300000,203694,322656,72,1000
087,300,325000,300000,135740,324646,720,1000
040,300,325000,300000,183828,322744,24,1000
035,300,325000,300000,183677,323770,301,1000
065,300,325000,300000,184151,323865,352,1000
020,300,325000,300000,194844,323569,176,1000
030,300,325000,300000,200350,323245,71,1000
081,300,325000,300000,181205,322887,175,1000
025,300,325000,300000,130069,324829,868,1000
099,300,325000,300000,184078,323131,204,1000
061,300,325000,300000,191130,322865,186,1000
086,300,325000,300000,188418,323674,70,1000
09,300,325000,300000,162787,324434,580,1000
097,300,325000,300000,183631,323229,37,1000
06,300,325000,300000,186383,323321,153,1000
095,300,325000,300000,200207,322732,98,1000
043,300,325000,300000,183731,323536,213,1000
029,300,325000,300000,175728,323714,212,1000
054,300,325000,300000,168277,323537,180,1000
079,300,325000,300000,190901,323285,143,1000
015,300,325000,300000,175867,323425,120,1000
047,300,325000,300000,162619,324458,590,1000
058,300,325000,300000,189579,323671,179,1000
